Artist Name,Artist Slug,Death Year,Artwork Title,Artwork Slug,WikiArt URL,Image URL,Museum Location,Notes
"Rembrandt van Rijn",rembrandt,1669,"Landscape with a Canal and Large Boat",landscape-with-a-canal-and-large-boat-1650,https://www.wikiart.org/en/rembrandt/landscape-with-a-canal-and-large-boat-1650,https://uploads2.wikiart.org/images/rembrandt/landscape-with-a-canal-and-large-boat-1650.jpg,"attractions include its historic canals; the Rijksmuseum, Amsterdam","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Landscape with a Canal and Swan",landscape-with-a-canal-and-swan-1650,https://www.wikiart.org/en/rembrandt/landscape-with-a-canal-and-swan-1650,https://uploads2.wikiart.org/images/rembrandt/landscape-with-a-canal-and-swan-1650.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The Bull",the-bull-1650,https://www.wikiart.org/en/rembrandt/the-bull-1650,https://uploads2.wikiart.org/images/rembrandt/the-bull-1650.jpg,"collection of the Louvre in Paris since 1857","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The Hundred Guilder Print",the-hundred-guilder-print,https://www.wikiart.org/en/rembrandt/the-hundred-guilder-print,https://uploads2.wikiart.org/images/rembrandt/the-hundred-guilder-print.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"The star of the kings",the-star-of-the-kings-1651,https://www.wikiart.org/en/rembrandt/the-star-of-the-kings-1651,https://uploads2.wikiart.org/images/rembrandt/the-star-of-the-kings-1651.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Christ disputing with the doctors",christ-disputing-with-the-doctors-1652,https://www.wikiart.org/en/rembrandt/christ-disputing-with-the-doctors-1652,https://uploads2.wikiart.org/images/rembrandt/christ-disputing-with-the-doctors-1652.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Christ preaching",christ-preaching-1652,https://www.wikiart.org/en/rembrandt/christ-preaching-1652,https://uploads2.wikiart.org/images/rembrandt/christ-preaching-1652.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Large Self-portrait",large-self-portrait-1652,https://www.wikiart.org/en/rembrandt/large-self-portrait-1652,https://uploads2.wikiart.org/images/rembrandt/large-self-portrait-1652.jpg,"Kunsthistorisches Museum in Vienna","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The Virgin with the instruments of the passion",the-virgin-with-the-instruments-of-the-passion-1652,https://www.wikiart.org/en/rembrandt/the-virgin-with-the-instruments-of-the-passion-1652,https://uploads2.wikiart.org/images/rembrandt/the-virgin-with-the-instruments-of-the-passion-1652.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Faust",faust,https://www.wikiart.org/en/rembrandt/faust,https://uploads2.wikiart.org/images/rembrandt/faust.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Aristotle with a Bust of Homer (Aristotle Contemplating a Bust of Homer)",aristotle-with-a-bust-of-homer-1653-0,https://www.wikiart.org/en/rembrandt/aristotle-with-a-bust-of-homer-1653-0,https://uploads2.wikiart.org/images/rembrandt/aristotle-with-a-bust-of-homer-1653-0.jpg,"Metropolitan Museum of Art, New York","Met API"
"Rembrandt van Rijn",rembrandt,1669,"Landscape with a shepherd and a dog",landscape-with-a-shepherd-and-a-dog-1653,https://www.wikiart.org/en/rembrandt/landscape-with-a-shepherd-and-a-dog-1653,https://uploads2.wikiart.org/images/rembrandt/landscape-with-a-shepherd-and-a-dog-1653.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The Three Crosses",the-three-crosses-1653,https://www.wikiart.org/en/rembrandt/the-three-crosses-1653,https://uploads2.wikiart.org/images/rembrandt/the-three-crosses-1653.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Christ at Emmaus",christ-at-emmaus-1654,https://www.wikiart.org/en/rembrandt/christ-at-emmaus-1654,https://uploads2.wikiart.org/images/rembrandt/christ-at-emmaus-1654.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Christ returning from the Temple with his parents",christ-returning-from-the-temple-with-his-parents-1654,https://www.wikiart.org/en/rembrandt/christ-returning-from-the-temple-with-his-parents-1654,https://uploads2.wikiart.org/images/rembrandt/christ-returning-from-the-temple-with-his-parents-1654.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Jan Six",jan-six-1654,https://www.wikiart.org/en/rembrandt/jan-six-1654,https://uploads2.wikiart.org/images/rembrandt/jan-six-1654.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Jesus Christ Entombed",jesus-christ-entombed-1654,https://www.wikiart.org/en/rembrandt/jesus-christ-entombed-1654,https://uploads2.wikiart.org/images/rembrandt/jesus-christ-entombed-1654.jpg,"collection of the Louvre in Paris since 1857","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The circumcision in the stable",the-circumcision-in-the-stable-1654,https://www.wikiart.org/en/rembrandt/the-circumcision-in-the-stable-1654,https://uploads2.wikiart.org/images/rembrandt/the-circumcision-in-the-stable-1654.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"The descent from the cross by torchlight",the-descent-from-the-cross-by-torchlight-1654,https://www.wikiart.org/en/rembrandt/the-descent-from-the-cross-by-torchlight-1654,https://uploads2.wikiart.org/images/rembrandt/the-descent-from-the-cross-by-torchlight-1654.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"The flight into Egypt crossing a brook",the-flight-into-egypt-crossing-a-brook-1654,https://www.wikiart.org/en/rembrandt/the-flight-into-egypt-crossing-a-brook-1654,https://uploads2.wikiart.org/images/rembrandt/the-flight-into-egypt-crossing-a-brook-1654.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"The golf player",the-golf-player-1654,https://www.wikiart.org/en/rembrandt/the-golf-player-1654,https://uploads2.wikiart.org/images/rembrandt/the-golf-player-1654.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The Holy Family with a cat",the-holy-family-with-a-cat-1654,https://www.wikiart.org/en/rembrandt/the-holy-family-with-a-cat-1654,https://uploads2.wikiart.org/images/rembrandt/the-holy-family-with-a-cat-1654.jpg,"collection of the Louvre in Paris since 1857","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Old man",old-man-1,https://www.wikiart.org/en/rembrandt/old-man-1,https://uploads2.wikiart.org/images/rembrandt/old-man-1.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"A Man in Armour",a-man-in-armour-1655,https://www.wikiart.org/en/rembrandt/a-man-in-armour-1655,https://uploads2.wikiart.org/images/rembrandt/a-man-in-armour-1655.jpg,"Calouste Gulbenkian Museum in Lisbon, Paris","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Christ Presented to the People",christ-presented-to-the-people-1655,https://www.wikiart.org/en/rembrandt/christ-presented-to-the-people-1655,https://uploads2.wikiart.org/images/rembrandt/christ-presented-to-the-people-1655.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Lot and His Family Leaving Sodom",lot-and-his-family-leaving-sodom-1655,https://www.wikiart.org/en/rembrandt/lot-and-his-family-leaving-sodom-1655,https://uploads2.wikiart.org/images/rembrandt/lot-and-his-family-leaving-sodom-1655.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The Agony in the Garden",the-agony-in-the-garden-1655,https://www.wikiart.org/en/rembrandt/the-agony-in-the-garden-1655,https://uploads2.wikiart.org/images/rembrandt/the-agony-in-the-garden-1655.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"View of Diemen",view-of-diemen-1655,https://www.wikiart.org/en/rembrandt/view-of-diemen-1655,https://uploads2.wikiart.org/images/rembrandt/view-of-diemen-1655.jpg,"attractions include its historic canals; the Rijksmuseum, Amsterdam","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Alexander the Great",alexander-the-great,https://www.wikiart.org/en/rembrandt/alexander-the-great,https://uploads2.wikiart.org/images/rembrandt/alexander-the-great.jpg,"Calouste Gulbenkian Museum in Lisbon, Paris","Wikipedia"
